"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha"
"Millennial","4","42","4_42",NA,NA,NA,"-10.5298099120191",NA,NA,NA,NA,"55.1188897630617"
"RothC","4","42","4_42",NA,NA,NA,"-1.6685",NA,NA,NA,NA,"19.4159"
"APSIM","4","43","4_43","-1.62875151515152","-0.578355555555596","0.551628282828283","1.9","5.42454","0.00386151724138206",NA,NA,"27.9"
"Daycent","4","43","4_43","-0.921780615039296","-0.95906395061732","-0.230137185185185","-0.0999999999999979","21.717696","-0.13636130896551","-25.1933694","-0.121868425287321","25.8"
"Millennial","4","43","4_43",NA,NA,NA,"-11.444784418911",NA,NA,NA,NA,"54.2039152561698"
"RothC","4","43","4_43",NA,NA,NA,"-1.8518",NA,NA,NA,NA,"19.2326"
"APSIM","4","44","4_44","-1.6297696969697","-0.578355555555596","0.653333333333336","1.7","4.89162","0.00195103448276107",NA,NA,"27.7"
"Daycent","4","44","4_44","-0.89685640404042","-0.961274222222258","-0.253301481481483","-0.5","19.738871","-0.140558873103444","-26.3803185","-0.144461901915667","25.4"
"Millennial","4","44","4_44",NA,NA,NA,"-12.4187314053964",NA,NA,NA,NA,"53.2299682696844"
"RothC","4","44","4_44",NA,NA,NA,"-2.0437",NA,NA,NA,NA,"19.0407"
"APSIM","4","51","4_51","-1.6261494949495","-0.578355555555596","0.544783838383843","2.4","7.29736","-0.0196772413793073",NA,NA,"29.4"
"Daycent","4","51","4_51","-0.893642720538736","-0.936129185185223","-0.0979032098765424","3.4","27.2972025","-0.0653947875861995","-19.5145961","-0.0202022697317509","29.3"
"Millennial","4","51","4_51",NA,NA,NA,"-8.07987989828809",NA,NA,NA,NA,"57.5688197767927"
"RothC","4","51","4_51",NA,NA,NA,"-1.3147",NA,NA,NA,NA,"19.7697"
"APSIM","4","52","4_52","-1.62733737373738","-0.578355555555596","0.543765656565661","2.4","7.83989","-0.0430277241379281",NA,NA,"31"
"Daycent","4","52","4_52","-0.663486868686888","-0.907863012345715","0.29348113580247","5.5","27.3787759","-0.0326226413793025","-15.2752743","0.0271834957855044","31.4"
"Millennial","4","52","4_52",NA,NA,NA,"-6.31156202617649",NA,NA,NA,NA,"59.3371376489043"
"RothC","4","52","4_52",NA,NA,NA,"-1.221",NA,NA,NA,NA,"19.8634"
"APSIM","4","53","4_53","-1.63118383838385","-0.578355555555596","0.544161616161624","2.2","8.85593","-0.0906838620689623",NA,NA,"33.5"
"Daycent","4","53","4_53","-0.443167658810346","-0.895054222222257","0.379601530864193","5.7","27.274334","-0.0175028399999917","-11.1896823","0.0656142383142551","31.6"
"Millennial","4","53","4_53",NA,NA,NA,"-4.19860792354249",NA,NA,NA,NA,"61.4500917515383"
"RothC","4","53","4_53",NA,NA,NA,"-1.0716",NA,NA,NA,NA,"20.0128"
"APSIM","4","61","4_61","-1.60550303030304","-0.578822222222264","0.622731313131311","1.3","6.25868","0.00891324137931371",NA,NA,"38.2"
"APSIM","4","62","4_62","-1.60917979797981","-0.579288888888932","0.653276767676765","0.399999999999999","5.87234","0.0189242758620726",NA,NA,"48.1"
"APSIM","4","63","4_63","-1.6146101010101","-0.582555555555601","0.675167676767678","-0.5","5.57905","0.0232795862069004",NA,NA,"57.8"
"APSIM","4","64","4_64","-1.61783434343435","-0.585044444444478","0.688573737373744","-1.30000000000001","5.36304","0.0245153103448315",NA,NA,"67.1"
"APSIM","4","65","4_65","-1.62117171717172","-0.587533333333369","0.698529292929294","-1.90000000000001","5.17611","0.024916275862073",NA,NA,"76.8"
"APSIM","5","1","5_1","-2.7918333333331","-0.117444444444452","-0.476169696969706","2.2","9.6942","0.218818482758621",NA,NA,"28.1"
"Daycent","5","1","5_1","-3.14005450056121","-0.537420592592603","0.519258962962965","0.400000000000002","25.9016705","-0.147776594482753","-23.993452","-0.179705943295072","26.3"
"Millennial","5","1","5_1",NA,NA,NA,"-11.3880255191218",NA,NA,NA,NA,"54.2608838334333"
"RothC","5","1","5_1",NA,NA,NA,"-1.6663",NA,NA,NA,NA,"19.4181"
"APSIM","5","2","5_2","-2.77429444444419","-0.681177777777791","-0.164210101010106","2","9.53694","0.213808137931035",NA,NA,"30.1"
"Daycent","5","2","5_2","-2.50554810325477","-0.542091753086432","0.634841234567901","2.6","18.9308549","-0.0974217724137861","-88.8874848","-0.40021188965526","33.6"
"Millennial","5","2","5_2",NA,NA,NA,"-2.6673465234264",NA,NA,NA,NA,"62.912474045738"
"RothC","5","2","5_2",NA,NA,NA,"-1.3217",NA,NA,NA,NA,"24.7223"
"APSIM","5","3","5_3","0.119890350877323","-0.0791777777777867","-0.223660606060612","0.599999999999998","3.3477","0.0616215172413795",NA,NA,"26.7"
"Daycent","5","3","5_3","-2.71257689786759","-0.396224543209893","0.494980543209877","-2","21.5522588","-0.112692885517237","-17.4422446","-0.43468995632185","26"
"Millennial","5","3","5_3",NA,NA,NA,"3.0479614008411",NA,NA,NA,NA,"73.4978206024611"
"RothC","5","3","5_3",NA,NA,NA,"-1.7163",NA,NA,NA,NA,"25.4658"
"APSIM","5","41","5_41","-2.79202777777755","-0.117444444444452","-0.465818181818193","2.2","9.23887","0.216815310344828",NA,NA,"28.1"
"Daycent","5","41","5_41","-2.85083995510664","-0.539833086419762","0.511151061728398","0.300000000000001","24.8892949","-0.154756084137925","-24.1795293","-0.187159113410014","26.2"
"Millennial","5","41","5_41",NA,NA,NA,"-11.6394701378423",NA,NA,NA,NA,"54.0094392147128"
"RothC","5","41","5_41",NA,NA,NA,"-1.7211",NA,NA,NA,NA,"19.3633"
"APSIM","5","42","5_42","-2.79187222222197","-0.117444444444452","-0.477187878787888","2","8.33192","0.211577379310345",NA,NA,"27.9"
"Daycent","5","42","5_42","-2.40719613916949","-0.542017777777787","0.490776049382717","0","22.850676","-0.165197911724133","-24.5549011","-0.209436454406186","25.9"
"Millennial","5","42","5_42",NA,NA,NA,"-12.1823187523983",NA,NA,NA,NA,"53.4665906001568"
"RothC","5","42","5_42",NA,NA,NA,"-1.8396",NA,NA,NA,NA,"19.2448"
"APSIM","5","43","5_43","-2.78529999999978","-0.117444444444452","-0.532905050505057","1.8","7.49523","0.198934482758623",NA,NA,"27.7"
"Daycent","5","43","5_43","-2.19090101010104","-0.543005728395066","0.463764691358023","-0.299999999999997","20.8743313","-0.169450515862065","-25.2717224","-0.243401613793161","25.6"
