year,date,Obs_sd,treatment_scen,Model,mb_val
2003,12303,NA,Continuous Crop,Millennial,0.410942366
2003,12304,NA,Continuous Crop,Observed,NA
2003,12304,NA,Continuous Crop,Millennial,0.410918624
2003,12305,NA,Continuous Crop,Observed,NA
2003,12305,NA,Continuous Crop,Millennial,0.410538343
2003,12306,NA,Continuous Crop,Observed,NA
2003,12306,NA,Continuous Crop,Millennial,0.410328843
2003,12307,NA,Continuous Crop,Observed,NA
2003,12307,NA,Continuous Crop,Millennial,0.410717899
2003,12308,NA,Continuous Crop,Observed,NA
2003,12308,NA,Continuous Crop,Millennial,0.411441614
2003,12309,NA,Continuous Crop,Observed,NA
2003,12309,NA,Continuous Crop,Millennial,0.412542691
2003,12310,NA,Continuous Crop,Observed,NA
2003,12310,NA,Continuous Crop,Millennial,0.413854134
2003,12311,NA,Continuous Crop,Observed,NA
